ID,CK_7,CK_14,CK_24,0.5N_5,0.5N_10,0.5N_15,1N_6,1N_9,1N_13,0.5SS_8,0.5SS_4,0.5SS_12,1SS_2,1SS_20,1SS_22,2SS_1,2SS_17,2SS_21,4SS_11,4SS_16,4SS_19,1CM_3,1CM_8,1CM_23
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Starkeya|s__Starkeya_novella,0,0,0,0,0.0112525,0,0,0.0446287,0,0,0.0153262,0,0,0.0125335,0,0.0075378,0,0,0.0100354,0.016247,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_johrii,0,0,0,0,0,0,0,0,0,0,0,0.0525252,0,0,0,0.0076597,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Inquilinus|s__Inquilinus_limosus,0,0,0,0,0,0,0,0.0225489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Skermanella|s__Skermanella_aerolata,0.0044262,0.0113439,0.0440854,0.0367695,0.0219775,0.0101736,0.0129679,0.0075656,0.0179328,0.0143593,0.0358214,0.0571707,0.0325993,0.0042329,0,0.0199582,0.0145256,0.0260033,0.0128975,0.0029199,0,0.0181255,0.0158787,0.0017618
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillales_unclassified|g__Rhodospirillales_unclassified|s__Rhodospirillales_bacterium_URHD0017,0.0056006,0,0,0.002711,0,0.0015776,0,0,0,0.0012087,0.0028558,0,0,0,0,0.0033462,0,0,0,0,0,0.000611,0.0011439,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium_yanoikuyae,0.2103102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_sp_LC363,0,0,0,0,0,0,0,0.0135539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingosinicella|s__Sphingosinicella_sp_QZX222,0,0,0,0,0,0,0,0.0127608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter_denitrificans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0082321,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter_spanius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538574,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Rhizobacter|s__Rhizobacter_gummiphilus,0,0,0.0011176,0,0,0,0,0,0,0,0.0339133,0,0.0557017,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Ramlibacter|s__Ramlibacter_sp_Leaf400,0.0181065,0.0114401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax|s__Variovorax_paradoxus,0,0,0,0,0,0,0,0,0,0,0,0,0.0024204,0,0,0.0166894,0,0,0,0,0,0.0100772,0.0023574,0.0069916
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosomonas|s__Nitrosomonas_communis,0.0139027,0.0465277,0.0614588,0.2477373,0.2317325,0.1982077,0.2600641,0.2824932,0.2230397,0.1250999,0.1509311,0.1274786,0.1476345,0.2211404,0.1862196,0.0873748,0.1644382,0.1402003,0.0749119,0.0675128,0.0666799,0.1132275,0.1062989,0.0630489
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosomonas|s__Nitrosomonas_ureae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0074447
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosospira|s__Nitrosospira_briensis,0,0,0,0.0121254,0.0052802,0.0061759,0.050287,0.0132009,0.0602103,0,0,0.0101434,0.0017502,0.012722,0,0.0055551,0,0,0.009983,0.0057768,0.010514,0.007006,0.0059297,0.008254
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosospira|s__Nitrosospira_multiformis,0,0,0,0.0236488,0.014729,0.0062863,0.0519472,0.0401878,0.0754832,0.0135879,0.0142512,0.0145878,0.0058249,0.0297755,0.0137289,0.0152076,0.032937,0.007579,0.0481005,0.0216961,0.02706,0.0213492,0.0050803,0.0066269
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Thiobacillus|s__Thiobacillus_denitrificans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012555
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Archangiaceae|g__Archangium|s__Archangium_gephyra,0,0.0122458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023804,0,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Archangiaceae|g__Cystobacter|s__Cystobacter_fuscus,0,0,0,0.0105265,0,0,0.0036391,0,0,0,0,0.0096246,0,0,0,0,0,0,0.0138439,0.0058516,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Nannocystaceae|g__Nannocystis|s__Nannocystis_exedens,0.0435139,0.1669477,0.0800388,0.0730276,0.0452643,0.0694234,0.053778,0.0841205,0.0709508,0.0571412,0.0692869,0.0557586,0.0809892,0.0639874,0.0784712,0.0786868,0.0843489,0.0978106,0.0575218,0.0337154,0.0462884,0.1099988,0.1565736,0.185838
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae|g__Chondromyces|s__Chondromyces_crocatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017683,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae|g__Sorangium|s__Sorangium_cellulosum,0.073919,0.1580578,0.1924243,0.1739566,0.2996276,0.162195,0.151616,0.1514348,0.1735726,0.1040613,0.2022266,0.1772469,0.2084123,0.1725521,0.3119508,0.144598,0.2134435,0.1420323,0.1317933,0.1804285,0.0914062,0.2440721,0.2121557,0.2036416
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_mori,0,0,0,0,0,0,0,0,0,0.0288018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
